Country_Code,Country_Name,LP_Year,Learning_Poverty,F5_Internet_Usage,F1_GDP_per_capita,F8_Gender_Parity_Index,F7_Completion_Rate,F3_Pupil_Teacher_Ratio,F6_Net_Enrollment,F2_Gov_Edu_Exp,F4_Stunting_Rate,N1_Under5_Mortality,N2_Adolescent_Fertility,N3_Electricity_Access,N4_Physicians_per_1000,N5_Child_Marriage_Female,G1_Gov_Effectiveness,G2_Corruption_Control,G3_Rule_of_Law,G_AVG_Governance,GDP_Quartile,log_GDP,LP_Predicted_by_GDP,Residual,Deviance_Group
ALB,Albania,2021,10.236815452575684,83.13559161,20481.0358398226,1.01776003837585,95.1351520460518,17.57287,94.52966,3.09153008460998,11.3,9.4,12.789,100.0,1.879,11.8,0.250855356454849,-0.332218527793884,-0.164097368717194,-0.0818201800187429,"Q2
(저소득)",9.927254655990753,39.40274097250585,-29.16592551993017,Positive
ARE,United Arab Emirates,2021,25.91624641418457,100.0,70239.8552855072,1.00943005084991,99.1737916980463,24.52278,95.02753,3.89404010772705,4.220000000000001,5.0,3.103,100.0,2.992,0.18,1.60428190231323,1.07366383075714,0.881900131702423,1.1866152882575978,"Q4
(고소득)",11.159671168020816,8.96214943294217,16.9540969812424,Negative
ARG,Argentina,2019,59.14719009399414,89.22897166,27230.3968496682,1.00501000881195,98.9436486948575,15.625510000000002,99.184,5.00324010848999,8.7,9.7,26.414,100.0,5.106,15.5,-0.377517342567444,-0.360883951187134,-0.410826534032822,-0.3830759425958001,"Q3
(중소득)",10.212089159548686,32.367350993107436,26.779839100886704,Negative
ARM,Armenia,2019,27.241146087646484,79.99663036,19402.7510915578,1.00578999519348,94.3309098054628,15.41859,90.72273,2.43869996070862,9.4,10.0,13.445,100.0,3.36,5.3,-0.184129968285561,0.0583996474742889,-0.122017979621887,-0.082582766811053,"Q2
(저소득)",9.873170143840682,40.73862419616128,-13.497478108514798,Positive
AUS,Australia,2021,9.063639640808104,96.1160965,60684.9596204883,0.998040020465851,100.88402261863264,12.135102,96.38096,5.05915021896362,4.0200000000000005,3.7,6.715,100.0,4.086,0.2199999999999999,1.58987963199615,1.78120493888855,1.52318394184113,1.6314228375752766,"Q4
(고소득)",11.013451164144975,12.5737721022669,-3.510132461458797,Middle
AUT,Austria,2021,14.969030380249023,95.33467117,64536.2981841434,0.994930028915405,98.030403137207,10.01653,88.61718,5.27749013900757,4.0200000000000005,3.3,3.836,100.0,5.515,0.2199999999999999,1.32668149471283,1.1336532831192,1.74656546115875,1.4023000796635934,"Q4
(고소득)",11.074983107037266,11.053937921260513,3.9150924589885108,Middle
AZE,Azerbaijan,2021,37.54677200317383,89.0,21310.7386915022,1.01040995121002,96.2334128073598,15.42982,92.42467,3.66036009788513,6.6,18.7,34.767,100.0,3.185,10.9,-0.0326422192156315,-1.19547140598297,-0.566586077213287,-0.5982332341372962,"Q2
(저소득)",9.966966388569878,38.42186428108738,-0.8750922779135522,Middle
BDI,Burundi,2019,95.81885528564452,7.172299862,1036.16712196238,1.01317000389099,47.609493213452,42.52383,92.8047,4.87114173892375,58.0,48.7,53.364,11.6,0.078,19.0,-1.20011341571808,-1.55602598190308,-1.25105631351471,-1.3357319037119566,"Q1
(최저소득)",6.9432837244451235,113.10658979832888,-17.287734512684366,Positive
BEL,Belgium,2021,8.52700424194336,94.62625074,63095.4017281289,1.01420998573303,104.52909974856288,11.27695,98.76482,6.27611017227173,1.9,3.7,3.67,100.0,3.574,0.1,1.03702199459076,1.3368444442749,1.29537487030029,1.22308043638865,"Q4
(고소득)",11.052403173102622,11.611660524930073,-3.084656282986714,Middle
BEN,Benin,2019,55.77610397338867,32.39400101,3721.21254814808,0.925650000572205,61.6417503356934,39.19712,97.21103,3.22974322056608,34.1,77.2,77.844,57.0,0.216,27.5,-0.218984127044678,-0.0495794489979744,-0.505709648132324,-0.2580910747249921,"Q1
(최저소득)",8.221804847959039,81.5272179579735,-25.751113984584833,Positive
BFA,Burkina Faso,2019,73.86119079589844,25.36120033,2486.20669812871,1.01706540584564,51.6947761170006,39.72173,78.64517,5.32757840997187,21.1,77.4,87.082,21.7,0.148,38.2,-0.826227486133575,-0.169615507125854,-0.741778969764709,-0.5792073210080461,"Q1
(최저소득)",7.818513413477029,91.48848487434222,-17.627294078443782,Positive
BGD,Bangladesh,2022,51.220001220703125,44.50274195,8242.39798977242,1.01849806308746,98.0281882152568,30.05459,91.09434,2.16213826344701,23.6,30.6,73.179,99.5,0.722,51.4,-0.697334110736847,-1.12086641788483,-0.502657234668732,-0.7736192544301365,"Q1
(최저소득)",9.017046598742207,61.884808858047876,-10.664807637344751,Middle
BGR,Bulgaria,2021,18.185699462890625,80.38956462,33073.8179631314,0.994620025157928,94.4560775756836,15.20744,86.4454,4.50109004974365,11.6,5.9,39.098,100.0,4.328,9.44,0.047112051397562,-0.137721657752991,-0.0068576806224882,-0.0324890956593057,"Q3
(중소득)",10.406497250268387,27.565486344412648,-9.379786881522023,Middle
BHR,Bahrain,2021,30.165699005126957,100.0,57819.9051831242,0.994170010089874,88.56187958298,11.92315,96.71489,1.88778167912993,2.06,8.6,7.535,100.0,0.741,0.22,0.697198748588562,0.177784815430641,0.468770444393158,0.4479180028041203,"Q4
(고소득)",10.965088375706042,13.768329197383082,16.397369807743875,Negative
BRA,Brazil,2019,46.89786148071289,84.15060238,19079.8122132253,0.952139973640442,96.05074698255616,20.22308,96.29925,5.61920976638794,8.0,14.4,42.686,99.8,2.357,13.919999999999998,-0.546764314174652,-0.503643155097961,-0.308802843093872,-0.4530701041221617,"Q2
(저소득)",9.856386102879698,41.153188696303374,5.7446727844095165,Middle
